Player,Archetype,Round 1,        ,Round 2,,Round 3,,Round 4,,Round 5,,Round 6,,Round 7,,Round 8,,Round 9 ,,Round 10 ,,Round 11,,Round 12,,Round 13,,Round 14,,Round 15,,,,Final Standing
wizardpasta,UR Delver,Dazai,2-1,Testacular,2-1,Beenew,2-0,kohei1202,2-1,duanceyao,2-1,nathansteuer,2-1,Jasmine1742,2-1,JUJUBEAN__2004,2-0,fluffy21,1-2,Slasher21,2-1,,,,,,,,,,,,,11
Baku_91,UR Delver,StormQrow,2-0,ZYURYO,0-2,Koala40,2-1,marceliiine,2-1,alex2,2-1,McWinSauce,2-0,johnsmith3373,2-1,tom_basketball,2-0,musasabi,2-1,JohnnyBravo53,1-2,,,,,,,,,,,,,12
xJCloud,White Stompy,MeTheKaptain,2-0,Hakumei1234,2-0,BuenosLoko,2-1,ajdadd420,2-1,Gul_Dukat,2-0,JUJUBEAN__2004,1-2,nathansteuer,2-1,musasabi,1-2,tom_basketball,2-0,JoergHeinrich,2-0,,,,,,,,,,,,,13
kasa,4C Control,gomashio,2-0,zhinonono,2-1,Devt,2-1,AlpInco,1-2,Naoto,2-1,sfz,1-2,hide1984,2-0,Alakazimdk,2-1,Gul_Dukat,2-1,dancingdress,2-0,,,,,,,,,,,,,14
musasabi,GW Depths,M0nsterYe,2-1,yuyan,0-2,Koike,2-0,d13titus,2-1,Clamavus,2-0,Kosame,2-1,TheDullard,2-0,xJCloud,2-1,Baku_91,1-2,RonColpoCinese,2-1,,,,,,,,,,,,,15
Ozymandias17,4C Control,azureu09,2-0,rohuty,2-0,wooop_orc,2-0,medvedev,1-2,GotTheWongGuy,2-0,Galrion89,2-0,Delthar,2-0,Gul_Dukat,2-0,djizma,1-2,beware_the_water,2-1,,,,,,,,,,,,,16
XxShuicunexX,Reanimator,Vitis_vinifera,2-0,hunden,2-1,AlphaBlade,2-1,Killabee,0-2,joker10289,2-0,ziggy_stardust,2-0,Wrath_TheKid,0-2,bless_von,2-0,Gerschi,2-0,almightyshank,2-0,,,,,,,,,,,,,17
JohnnyBravo53,UR Delver,Phill_Hellmuth,2-0,cftsoc3,0-2,d13titus,0-2,darokaba,2-0,PA_Rude,2-0,GotTheWongGuy,2-0,Michelino,2-1,googly,2-1,LSC1998,2-0,Baku_91,2-1,,,,,,,,,,,,,18
Utsunomiya,Other Spell Combo,ls149950,2-0,Tezzeret01,2-0,duke12,1-2,DanDeluxe13,0-2,namo_g,2-1,ajdadd420,2-1,Melkhart,2-0,homhom86,2-1,Kinarus,2-1,utley26,2-1,,,,,,,,,,,,,19
djizma,Red Stompy,Monsyama,1-2,_Batutinha_,2-1,azatoyellow,2-0,ferrarix,2-1,codyoung,2-0,duke12,2-0,MM_17,2-1,AlpInco,2-1,Ozymandias17,2-1,JUJUBEAN__2004,0-2,,,,,,,,,,,,,20
McWinSauce,UR Delver,Bryzem1,0-2,subesube0417,2-0,Swiftclaw_,2-1,jamiewvh,2-0,otakkun,2-0,Baku_91,0-2,marceliiine,2-1,MarioBBrega,2-1,kiyoaggro,2-1,almostomniscient,2-1,,,,,,,,,,,,,21
FirstToThirst,UR Delver,tpc2000,1-2,paragon249,2-0,yashimoro,2-1,Fnoop,2-1,Smradd,2-1,416FrowningTable,2-1,googly,2-1,Vansguy,0-2,Bangiras,2-1,Tsubasa_Cat,2-1,,,,,,,,,,,,,22
utley26,Painter,jessy_samek,2-0,ReformedPaolo,2-0,kashf,2-1,hundinggjornersen,2-0,Killabee,2-0,kado222,2-0,kobayui,0-2,kohei1202,1-2,NimblestMongoose,2-1,Utsunomiya,1-2,,,,,,,,,,,,,23
sfz,Death's Shadow,_INF_,2-1,endFunU,0-2,ganesh_69,2-0,ARAPAKO,2-0,yPrincipe,2-1,kasa,2-1,Cartesian,0-2,hktknbr,2-0,gatekappa,2-1,Vansguy,0-2,,,,,,,,,,,,,24
AlpInco,White Stompy,Jettison,2-1,Promidnightz,2-1,Bullwinkkle6705,2-0,kasa,2-1,Galrion89,2-1,medvedev,1-2,NimblestMongoose,2-0,djizma,1-2,ziggy_stardust,1-2,kado222,2-1,,,,,,,,,,,,,25
Melkhart,Elves,fluffy21,1-2,Alakazimdk,2-1,TrueHero,2-0,2radMTG,2-1,piao,2-1,googly,1-2,Utsunomiya,0-2,TheDullard,2-0,Happy12,2-1,Delthar,2-0,,,,,,,,,,,,,26
ziggy_stardust,Stoneblade,OopsMissedTrigger,2-1,Roquefort,2-0,ZYURYO,2-1,kobayui,1-2,Erik_SZ,2-0,XxShuicunexX,0-2,Maximum_Zen,2-1,_Batutinha_,2-0,AlpInco,2-1,kohei1202,0-2,,,,,,,,,,,,,27
alex2,Doomsday,bless_von,2-1,dull04,2-0,Naoto,0-2,Bangiras,2-0,Baku_91,1-2,lcshana,2-0,satu2112,2-1,Aegisaziz,2-0,Tsubasa_Cat,1-2,gatekappa,2-1,,,,,,,,,,,,,28
Jasmine1742,White Stompy,FireMedic06,2-1,ARAPAKO,2-0,TristanJWL,2-0,Tsubasa_Cat,2-1,duke12,2-0,P4UM,2-1,wizardpasta,1-2,almostomniscient,1-2,Oceansoul92,1-2,LSC1998,2-1,,,,,,,,,,,,,29
Tsubasa_Cat,Cephalid Breakfast,AkahitoXion,2-0,Butakov,2-0,Clamavus,2-1,Jasmine1742,1-2,Cartesian,1-2,sora1248,2-1,Harryhaz1,2-1,albertoSD,2-1,alex2,2-1,FirstToThirst,1-2,,,,,,,,,,,,,30
almostomniscient,Elves,Kenzaburo,2-1,Dein_Freund_der_Baum,2-0,lcshana,1-2,TristanJWL,2-1,StormCountIsOne,2-0,albertoSD,2-1,Slasher21,2-1,Jasmine1742,2-1,bennybo,1-2,McWinSauce,1-2,,,,,,,,,,,,,31
Oceansoul92,UR Delver,TrincoTeq,2-0,KingofPwners,2-1,spiralprince,2-1,reisyasu,1-2,Lord_Beerus,2-0,Killabee,2-0,Gul_Dukat,1-2,johnsmith3373,2-0,Jasmine1742,2-1,kobayui,0-2,,,,,,,,,,,,,32
googly,Red Stompy,faultedform,2-0,Udon1590,0-2,FireMedic06,2-0,Aegisaziz,2-0,nevilshute,2-1,Melkhart,2-1,FirstToThirst,1-2,JohnnyBravo53,1-2,hundinggjornersen,2-0,MTGHolic,2-1,,,,,,,,,,,,,33
Michelino,Standstill,Gul_Dukat,1-2,EricaWesley,2-1,PohTayToes,2-1,homhom86,2-0,ColletClow,2-0,thestudygroup,0-2,JohnnyBravo53,1-2,duanceyao,2-1,albertoSD,2-0,reisyasu,2-0,,,,,,,,,,,,,34
Wrath_TheKid,8Cast,ForThoseWhoHaveHeart,1-2,Kuranari-Jackpa,2-1,rohuty,2-0,DNSolver,2-1,Tjbrown329,2-0,Azpergillus666,2-0,XxShuicunexX,2-0,mephidro,0-2,JoergHeinrich,1-2,tom_basketball,2-0,,,,,,,,,,,,,35
ReformedPaolo,UR Delver,Fuz65,2-1,utley26,0-2,LoggySD,2-1,El Lobo,2-1,B-Carp,2-0,Slasher21,0-2,almightyshank,1-2,Raikonette,2-1,satu2112,2-1,Gerschi,2-0,,,,,,,,,,,,,36
beware_the_water,8Cast,Jiobimbo,2-0,Aegisaziz,2-1,Martinho1111,1-2,hktknbr,2-0,akguy152,0-2,ARAPAKO,2-0,otakkun,2-1,MM_17,2-1,Delthar,2-0,Ozymandias17,1-2,,,,,,,,,,,,,37
Aegisaziz,Reanimator,homhom86,2-0,beware_the_water,1-2,Foheo,2-0,googly,0-2,PohTayToes,2-1,gomashio,2-1,duanceyao,2-0,alex2,0-2,MeTheKaptain,2-1,akguy152,2-1,,,,,,,,,,,,,38
Slasher21,8Cast,mtgvins,2-1,akguy152,0-2,jaarseth,2-1,wakarock,2-0,Martinho1111,2-1,ReformedPaolo,2-0,almostomniscient,1-2,MeninoNey,2-1,Eldhrimr,2-1,wizardpasta,1-2,,,,,,,,,,,,,39
JoergHeinrich,Doomsday,Qwupuf,2-1,codyoung,0-2,Wooded_Raptus,2-0,Cherryxman,2-1,MarioBBrega,2-0,WingedHussar,2-0,kohei1202,0-2,T2G_Brand,2-0,Wrath_TheKid,2-1,xJCloud,0-2,,,,,,,,,,,,,40
kashf,UR Delver,tao_bye_bye,2-0,dancingdress,2-1,utley26,1-2,piao,0-2,El Lobo,2-0,Martin_Dominguez,0-2,morpheus38,2-0,swayjisse,2-1,MeninoNey,2-1,larkblue,2-1,,,,,,,,,,,,,41
bernardocssa,UR Delver,Squiddward,2-0,MTGHolic,1-2,Jpsn54,2-0,exS1N,2-0,Wiltron92,2-1,Gerschi,2-0,reisyasu,2-1,endFunU,1-2,almightyshank,0-2,abombdiggity,2-1,,,,,,,,,,,,,42
Alakazimdk,Other Tempo,cftsoc3,1-2,Melkhart,1-2,Jiobimbo,2-0,AkahitoXion,2-1,hatahato,2-0,MAT_1205,2-0,WingedHussar,2-0,kasa,1-2,_Batutinha_,2-0,Didisoso91,2-1,,,,,,,,,,,,,43
NimblestMongoose,UR Delver,Hakumei1234,0-2,DRN123,2-0,Monsyama,2-1,Dein_Freund_der_Baum,2-0,ElfKid,2-1,yusuke0923,2-0,AlpInco,0-2,kado222,2-1,utley26,1-2,1mrlee,2-0,,,,,,,,,,,,,44
Supercazzola,UR Delver,Jack9Em,2-1,Manuel_Danninger,2-1,JUJUBEAN__2004,0-2,D00mwake,2-0,albertoSD,1-2,Bangiras,0-2,KenV21,2-0,MahfuzVanGogh,2-0,Azpergillus666,2-0,kiyoaggro,2-1,,,,,,,,,,,,,45
Eldhrimr,RUG Cascade,SacmenFeg,2-1,DemonicTutors,2-0,hundinggjornersen,1-2,TheDullard,0-2,dull04,2-1,sumimasen,2-1,Qwupuf,2-0,MentalMisstep,2-0,Slasher21,1-2,yPrincipe,2-1,,,,,,,,,,,,,46
piao,Reanimator,SingPanMan,2-0,Seulgi,1-2,comeback,2-0,kashf,2-0,Melkhart,1-2,wakarock,2-0,Gerschi,1-2,wildespony,2-1,AlphaBlade,2-0,Gul_Dukat,2-0,,,,,,,,,,,,,47
Kinarus,White Stompy,albertoSD,1-2,discoverN,2-0,bellboysquints,2-1,BuenosLoko,2-1,yusuke0923,1-2,StormCountIsOne,2-1,Udon1590,2-1,Serjero,2-0,Utsunomiya,1-2,Bangiras,2-0,,,,,,,,,,,,,48
almightyshank,8Cast,noprops,1-2,kdowns,1-2,gurig,2-0,SacmenFeg,2-1,BuenosLoko,2-0,Tjbrown329,2-0,ReformedPaolo,2-1,hundinggjornersen,2-1,bernardocssa,2-0,XxShuicunexX,0-2,,,,,,,,,,,,,49
ik1cksquirrels,Reanimator,hutomomo,2-0,Flugel310,2-1,1mrlee,0-2,ElfKid,1-2,noprops,2-0,MeTheKaptain,2-1,GreatApe,2-0,CoolUser,0-2,snoopy-magic,2-1,joker10289,2-1,,,,,,,,,,,,,50
RonColpoCinese,Ruby Storm,Kuangge,1-2,Treeroy6670,2-0,MeTheKaptain,2-1,MentalMisstep,0-2,HealthyFrog,2-0,dancingdress,2-0,Martin_Dominguez,2-0,AlphaBlade,2-1,larkblue,2-1,musasabi,1-2,,,,,,,,,,,,,51
CoolUser,Cephalid Breakfast,Call1Me1Dragon,2-0,Rooney56,1-2,dancingdress,1-2,CoolestRaven,2-0,DNSolver,2-1,T2G_Brand,0-2,Rimril,2-0,ik1cksquirrels,2-0,Qwupuf,2-0,MarioBBrega,2-1,,,,,,,,,,,,,52
Gul_Dukat,UR Delver,Michelino,2-1,noprops,2-1,necrodice,2-0,Phizzle,2-1,xJCloud,0-2,unluckymonkey,2-1,Oceansoul92,2-1,Ozymandias17,0-2,kasa,1-2,piao,0-2,,,,,,,,,,,,,53
reisyasu,UR Delver,Breckoroni,2-0,bellboysquints,2-1,riskbreaker,2-1,Oceansoul92,2-1,MartinMedMitten,2-1,kobayui,0-2,bernardocssa,1-2,bennybo,1-2,johnsmith3373,2-0,Michelino,0-2,,,,,,,,,,,,,54
gatekappa,Death's Shadow,discoverN,2-1,GreatApe,2-0,fluffy21,0-2,kaeru24,2-0,wildespony,2-0,kohei1202,0-2,yPrincipe,2-1,nathansteuer,2-1,sfz,1-2,alex2,1-2,,,,,,,,,,,,,55
kado222,Aluren,maver1k,2-0,baiburqueno,2-0,MarioBBrega,2-0,JPinter,2-1,endFunU,2-0,utley26,0-2,fluffy21,1-2,NimblestMongoose,1-2,MM_17,2-1,AlpInco,1-2,,,,,,,,,,,,,56
tom_basketball,White Stompy,MaxMagicer,2-1,ForThoseWhoHaveHeart,2-1,Cartesian,2-1,lcshana,1-2,unluckymonkey,2-1,Delthar,2-1,CookieKid00,1-2,Baku_91,0-2,xJCloud,0-2,Wrath_TheKid,0-2,,,,,,,,,,,,,57
akguy152,Omni-Tell,HongZhang,2-0,Slasher21,2-0,Bryzem1,2-1,Vansguy,0-2,beware_the_water,2-0,Cartesian,0-2,MentalMisstep,1-2,unluckymonkey,2-1,yoshiwata,2-1,Aegisaziz,1-2,,,,,,,,,,,,,58
LSC1998,Reanimator,namo_g,2-0,fluffy21,1-2,Flugel310,2-1,MeninoNey,2-1,ajdadd420,2-0,hundinggjornersen,2-0,endFunU,0-2,Azpergillus666,2-1,JohnnyBravo53,0-2,Jasmine1742,1-2,,,,,,,,,,,,,59
satu2112,Reanimator,ColletClow,2-0,416FrowningTable,2-0,UNAUNA,2-1,bennybo,2-1,nathansteuer,1-2,johnsmith3373,1-2,alex2,1-2,Martin_Dominguez,2-1,ReformedPaolo,1-2,Happy12,2-1,,,,,,,,,,,,,60
Delthar,UR Delver,Scranton01,2-0,ganesh_69,2-0,snoopy-magic,2-0,Tjbrown329,2-1,1mrlee,2-0,tom_basketball,1-2,Ozymandias17,0-2,joker10289,2-1,beware_the_water,0-2,Melkhart,0-2,,,,,,,,,,,,,61
abombdiggity,White Stompy,JUJUBEAN__2004,1-2,RespecttheCat,2-0,Bobovic,2-0,Martin_Dominguez,2-1,tao_bye_bye,2-0,DanDeluxe13,2-1,mephidro,1-2,Gerschi,0-2,GreatApe,2-1,bernardocssa,1-2,,,,,,,,,,,,,62
Kosame,UR Delver,BurntbySyn,2-1,sora1248,2-1,MM_17,2-0,P4UM,2-1,JUJUBEAN__2004,1-2,musasabi,1-2,wildespony,2-1,kiyoaggro,1-2,yPrincipe,0-2,AlphaBlade,2-1,,,,,,,,,,,,,63
1mrlee,White Stompy,handsomePPZ,2-0,Z4YN,2-1,ik1cksquirrels,2-0,nevilshute,2-0,Delthar,0-2,MeninoNey,2-0,Vansguy,0-2,Killabee,2-1,dancingdress,1-2,NimblestMongoose,0-2,,,,,,,,,,,,,64
thestudygroup,Cephalid Breakfast,JeanCarloBeloch,2-1,DanDeluxe13,2-1,P4UM,0-2,gouafhg,2-0,RUDEN1414,2-1,Michelino,2-0,bless_von,2-1,Cartesian,1-2,,,,,,,,,,,,,,,,,65
P4UM,UR Delver,Zitical,2-0,squppy,2-0,thestudygroup,2-0,Kosame,1-2,yuyan,2-1,Jasmine1742,1-2,larkblue,1-2,Fuz65,2-1,T2G_Brand,2-1,Yorsh,0-2,,,,,,,,,,,,,66
dancingdress,White Stompy,Wings_Style_Spartan,2-1,kashf,1-2,CoolUser,2-1,OnlyLandsDotCom,1-2,Kuangge,2-0,RonColpoCinese,0-2,manadra1n,2-1,trevoryParis,2-0,1mrlee,2-1,kasa,0-2,,,,,,,,,,,,,67
joker10289,Sneak and Show,Kuranari-Jackpa,2-1,larkblue,2-1,Fnoop,2-0,duanceyao,0-2,XxShuicunexX,0-2,Didisoso91,2-0,duke12,2-0,Delthar,1-2,Serjero,2-1,ik1cksquirrels,1-2,,,,,,,,,,,,,68
MTGHolic,White Stompy,Iwouldliketorespond,2-1,bernardocssa,2-1,Tjbrown329,1-2,Harryhaz1,2-0,JPinter,2-1,mephidro,1-2,Bangiras,1-2,tao_bye_bye,2-1,WingedHussar,2-0,googly,1-2,,,,,,,,,,,,,69
kiyoaggro,UR Delver,CracklingDoom,2-0,necrodice,0-2,nekonekoneko,2-1,KenV21,2-0,Promidnightz,2-1,CookieKid00,1-2,buildorburn,2-0,Kosame,2-1,McWinSauce,1-2,Supercazzola,1-2,,,,,,,,,,,,,70
hundinggjornersen,Cephalid Breakfast,scipios,2-0,stu909090,2-1,Eldhrimr,2-1,utley26,0-2,Maximum_Zen,2-0,LSC1998,0-2,squppy,2-0,almightyshank,1-2,googly,0-2,trevoryParis,2-1,,,,,,,,,,,,,71
Bangiras,TES,IPlayBadDecks,2-0,Bullwinkkle6705,0-2,yekcat,2-0,alex2,0-2,M0nsterYe,2-1,Supercazzola,2-0,MTGHolic,2-1,yoshiwata,2-0,FirstToThirst,1-2,Kinarus,0-2,,,,,,,,,,,,,72
MarioBBrega,UR Delver,LoggySD,2-1,hogpog_98,2-1,kado222,0-2,hatahato,2-0,JoergHeinrich,0-2,el-pollo-lolo,2-0,Martinho1111,2-1,McWinSauce,1-2,Maximum_Zen,2-0,CoolUser,1-2,,,,,,,,,,,,,73
larkblue,UR Delver,Beest,2-0,joker10289,1-2,tpc2000,2-1,JeanCarloBeloch,2-0,416FrowningTable,1-2,DragonDayDragon,2-0,P4UM,2-1,Dmags0917,2-0,RonColpoCinese,1-2,kashf,1-2,,,,,,,,,,,,,74
_Batutinha_,UR Delver,nathansteuer,0-2,djizma,1-2,filthy_casuals,2-1,maver1k,2-1,FlexToast,2-1,Cyberpunker,2-1,ganesh_69,2-0,ziggy_stardust,0-2,Alakazimdk,0-2,Maximum_Zen,2-0,,,,,,,,,,,,,75
Gerschi,UR Delver,zerhacker,1-2,Ravenouspanda21,2-1,DrPP,2-0,dull04,2-1,3putt,2-0,bernardocssa,0-2,piao,2-1,abombdiggity,2-0,XxShuicunexX,0-2,ReformedPaolo,0-2,,,,,,,,,,,,,76
yPrincipe,White Stompy,iKhada,2-1,Smradd,1-2,HealthyFrog,2-0,spiralprince,2-1,sfz,1-2,nditiz1,2-1,gatekappa,1-2,Udon1590,2-0,Kosame,2-0,Eldhrimr,1-2,,,,,,,,,,,,,77
Azpergillus666,Sneak and Show,Darkmattergun,1-2,CoolestRaven,2-0,Jydehem,2-0,Kuangge,2-0,T2G_Brand,2-0,Wrath_TheKid,0-2,ktmr-39,2-0,LSC1998,1-2,Supercazzola,0-2,MeTheKaptain,2-1,,,,,,,,,,,,,78
CookieKid00,UR Delver,EddDeedoo,2-1,Kuangge,1-2,namo_g,2-0,JPA93,2-1,buildorburn,2-1,kiyoaggro,2-1,tom_basketball,2-1,medvedev,0-2,,,,,,,,,,,,,,,,,79
GreatApe,White Stompy,Koike,2-1,gatekappa,0-2,gouafhg,2-0,aarong,2-0,yoshiwata,1-2,Foheo,2-1,ik1cksquirrels,0-2,Martinho1111,2-1,abombdiggity,1-2,snoopy-magic,2-1,,,,,,,,,,,,,80
wildespony,Sneak and Show,OnlyLandsDotCom,1-2,Dreddybajs,2-0,Schiaveto,2-1,ForThoseWhoHaveHeart,2-1,gatekappa,0-2,Phizzle,2-0,Kosame,1-2,piao,1-2,MahfuzVanGogh,2-1,Martinho1111,2-1,,,,,,,,,,,,,81
buildorburn,TES,gouafhg,2-1,nevilshute,1-2,morpheus38,2-0,MahfuzVanGogh,2-0,CookieKid00,1-2,Darkmattergun,2-0,kiyoaggro,0-2,416FrowningTable,0-2,Martin_Dominguez,2-1,WingedHussar,2-0,,,,,,,,,,,,,82
Yorsh,Reanimator,RespecttheCat,2-1,snoopy-magic,1-2,RUDEN1414,1-2,Fuz65,2-0,Testacular,2-0,Misterkle,2-1,Killabee,1-2,Qwupuf,0-2,tao_bye_bye,2-0,P4UM,2-0,,,,,,,,,,,,,83
ganesh_69,Painter,Krisuu889,2-0,Delthar,0-2,sfz,0-2,taka1208,2-1,D00mwake,2-0,KenV21,2-0,_Batutinha_,0-2,MeTheKaptain,0-2,TheDullard,2-0,Darkmattergun,2-0,,,,,,,,,,,,,84
Didisoso91,UR Delver,TERANO,0-2,duster6060,2-0,excel0679,1-2,Violent_Outburst,2-0,seblba,2-1,joker10289,0-2,Smradd,2-0,Xen0neb,2-1,Darkmattergun,2-0,Alakazimdk,1-2,,,,,,,,,,,,,85
